	score
RARA	17.438934020996093
SMAD2	17.41304069519043
INSRR	17.410263061523438
PALB2	17.386727466583253
FGF6	17.38655475616455
PPIA	17.34791255950928
CREB3L1	17.323868980407713
VTA1	17.314585704803466
CLEC7A	17.30993706703186
PSMA1	17.298294095993043
FGF7	17.273265085220338
RPS6KB2	17.237657337188722
TERF2	17.23687940597534
PLEC	17.21417911529541
TNFSF10	17.209407358169557
EYA1	17.185557594299315
INTS4	17.182859411239622
ICE2	17.182816362380983
PCK1	17.176679677963257
SMC3	17.169892377853394
ITK	17.145289878845215
INTS7	17.138385705947876
NFATC3	17.134518013000488
TAB3	17.128535661697388
PRKDC	17.11849573135376
PSMC6	17.118345165252684
RBPJ	17.069590940475464
PSMA4	17.05425498008728
ELL3	17.03395755767822
MAP2K6	17.030238428115844
THEM4	17.02928955078125
SPRY2	17.024708995819093
IGHV3-11	16.99587947845459
TAF15	16.985525922775267
GABARAPL1	16.978251667022704
TAF2	16.967137784957885
ZC3H8	16.95194582939148
NABP1	16.93659499168396
WDR48	16.926621856689454
PSMA5	16.925643587112425
STAG2	16.925505685806275
NRG1	16.910226392745972
PSMC2	16.90291558265686
LRP2	16.89542411804199
IRS2	16.880937614440917
TAF4	16.875048837661744
PLCG2	16.87035882949829
PSMD2	16.86756311416626
NF1	16.862840547561646
RELB	16.841849489212038
PSMB2	16.83844259262085
TNFRSF10B	16.834440031051635
TGFBR2	16.827987508773802
TAF3	16.825344944000243
NOTCH3	16.821308937072754
PSMB7	16.812836570739748
INTS9	16.80687593460083
PSMB3	16.80654870033264
FGF9	16.793924980163574
PSMD4	16.759104290008544
PDCD1LG2	16.751460132598876
SNAP23	16.744859294891356
ERCC2	16.722923316955566
CREB3L4	16.719188680648802
PSMD1	16.709959077835084
NEB	16.70732710838318
CD40LG	16.70463948249817
NCEH1	16.699944400787352
ICE1	16.69207841873169
CTSO	16.688891096115114
PSMA3	16.686876392364503
TFDP1	16.675290880203246
PSMD12	16.67059013366699
CTSF	16.660305004119873
PSMA7	16.655894384384155
PDCD1	16.65042941093445
TAF4B	16.64938383102417
PSMB5	16.638528509140016
CTSH	16.617607326507567
PSME2	16.604025735855103
EXO1	16.602666091918945
PSMB4	16.59823790550232
PSMD14	16.59654496192932
PSMD11	16.584599332809447
PSMB8	16.572400989532472
PSMD6	16.554628601074217
MS4A2	16.54549111366272
INTS14	16.541295804977416
UBE2D3	16.54086389541626
INTS10	16.537243824005127
PRKCD	16.524700298309327
IFIT1B	16.5189408493042
NABP2	16.505553722381592
PSME3	16.499697694778444
TAF9B	16.499398746490478
NFE2L2	16.493459815979005
VEGFD	16.4708141040802
PSMD3	16.45104104042053
PSMC4	16.443573579788207
GTF2H4	16.420646266937254
MAP2K7	16.419992532730102
FGF5	16.416965284347533
PSMB9	16.411296606063843
TAF5	16.371209812164306
TAF7	16.343668489456178
INTS12	16.341077852249146
TERF2IP	16.334056940078735
PSMC5	16.330870189666747
PSMB1	16.3229034614563
TINF2	16.318143882751464
TERF1	16.31692373275757
RELN	16.3152091217041
TSC2	16.30756018638611
PRKCI	16.293785324096678
TAF6	16.276298084259032
SMC1A	16.268500442504884
PSMD8	16.266948690414427
GSK3B	16.241417083740235
PSMB6	16.21563063621521
USP1	16.209691705703737
CETN1	16.203674056529998
STAR	16.200670652389526
PCK2	16.18575277328491
SUPT4H1	16.181950054168702
PSMD7	16.175340881347655
RAP1B	16.16444595336914
MND1	16.16246542930603
SPEN	16.15488754272461
KITLG	16.154448957443236
TLR2	16.140461015701295
PSMB10	16.139633083343504
SMPD1	16.13897888183594
SNCA	16.13711678504944
CTSV	16.133853635787965
RIPK2	16.115397033691405
