	score
PDGFB	18.194693689346312
JUP	18.156097326278687
IRS2	18.11435420036316
TRIO	18.103537225723265
POLR2F	18.06323268890381
ARRB1	18.061141929626466
CDKN1A	18.036350202560424
EDN1	18.034794912338256
PAK1	18.011948623657226
BTK	17.970294427871703
VCL	17.909127407073974
SFN	17.883609304428102
LPAR3	17.87095633506775
MAP2K4	17.86754779815674
POLR2D	17.863168926239013
IQGAP1	17.859885511398314
TCF7L2	17.843298358917238
FZD2	17.810842247009276
ITGB3	17.80539776802063
ANXA1	17.728335237503053
LAMC1	17.713418159484863
RHOQ	17.712167854309083
CHRM2	17.69968832015991
PPP2R5A	17.695805644989015
LPAR2	17.687241926193238
CASP3	17.682576732635496
ITPR2	17.678948335647583
GNAS	17.674311084747316
AOX1	17.639086866378783
ERBB4	17.63784251213074
PENK	17.628673057556153
GNA13	17.57950551986694
PAK3	17.573503808975218
CXCL1	17.565090799331664
ITCH	17.543621835708617
KALRN	17.54050808906555
ADCY2	17.539130144119262
ROCK1	17.49245406150818
DMD	17.48129418373108
POLR2H	17.48116187095642
RANBP2	17.479089345932007
KMT2B	17.466724500656127
AVP	17.463411045074462
CUL1	17.460033769607545
IRF5	17.422995223999024
ITPR1	17.418825845718384
PRKCE	17.412127513885498
NCAM1	17.41030252456665
HSPG2	17.401708641052245
F2RL2	17.39962896347046
PPP2R5D	17.38418210029602
POLR2B	17.366130933761596
RNF213	17.356641817092896
ARID1B	17.31642195701599
TRIM28	17.284304399490356
REEP6	17.281619129180907
PPARA	17.263964834213258
FGA	17.259495220184327
MEF2C	17.24934058189392
PPP2R1B	17.244870595932007
PARP1	17.23116597175598
PPBP	17.228813190460205
RBX1	17.213608236312865
UBE2D3	17.209416666030883
TGFBR2	17.192443742752076
GNAO1	17.191288709640503
PIK3CG	17.188348922729492
HLA-A	17.18300503730774
ITGA2B	17.17645796775818
CHRM1	17.15771812438965
PXN	17.139021663665773
GNAZ	17.13784775733948
VCAN	17.135547876358032
GNA14	17.13441843986511
UBE2D1	17.1247283744812
FBN1	17.108129472732543
CDKN1B	17.08188193321228
TNC	17.063127880096435
RHOBTB1	17.05718967437744
REEP2	17.05356329917908
ADCY8	17.03232599258423
POLR2L	17.00922676086426
CTTN	17.008609886169435
RPA3	17.00511866569519
PRKACB	16.991094360351564
FOS	16.970988836288452
PRKDC	16.962547035217284
FYN	16.959821281433104
BCR	16.95193039894104
ADCY1	16.951402854919433
GNAI2	16.94470898628235
BTRC	16.924014043807983
AVPR2	16.915397062301636
GTF2F1	16.891511516571043
GNA15	16.881944904327394
FCGR1A	16.869164876937866
PIK3CD	16.843092565536498
EGR1	16.81972363471985
NMUR2	16.817411670684816
GNB2	16.804425287246705
TRRAP	16.796379928588866
RUNX3	16.782458486557008
PPP2R5B	16.767273626327516
PRKACA	16.73651165962219
C3AR1	16.683908958435058
FBXL7	16.666471881866457
CSF2	16.64406376838684
ADCY9	16.623503160476684
ITPR3	16.59038052558899
PIK3R6	16.58962995529175
NCBP1	16.535465002059937
REEP5	16.51926121711731
PLCB1	16.512444314956664
ADCY5	16.50611150741577
DST	16.500791311264038
MAP2K2	16.478101654052736
ACTN1	16.477551288604737
ERCC1	16.47619448661804
ADCY6	16.45658187866211
HGF	16.456174869537353
ACTN2	16.454589557647704
MAX	16.45089358329773
ERCC8	16.44627515792847
VDR	16.44185562133789
